,city,date,district,building state,main use,total floor number
15407,新北市,2013-10-14,淡水區,住宅大樓(11層含以上有電梯),住家用,27
48666,高雄市,2013-10-16,鳳山區,住宅大樓(11層含以上有電梯),見其他登記事項,14
48320,高雄市,2013-10-25,鳳山區,住宅大樓(11層含以上有電梯),見其他登記事項,14
12230,新北市,2013-10-26,淡水區,住宅大樓(11層含以上有電梯),住家用,20
9977,新北市,2013-10-28,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
7687,新北市,2013-10-28,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
47132,高雄市,2013-11-07,鳳山區,住宅大樓(11層含以上有電梯),見其他登記事項,14
12225,新北市,2013-11-10,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16822,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7307,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10882,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10886,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17578,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7705,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16815,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9787,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8796,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16816,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16817,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7715,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
18017,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
18022,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15659,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15653,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9785,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14982,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,24
14959,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15207,新北市,2013-11-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13477,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7710,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11763,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10374,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13082,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13081,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8630,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10894,新北市,2013-11-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17572,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7716,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14958,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17781,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17574,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10884,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
23580,桃園市,2013-11-15,龜山區,其他,,0
15655,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,24
10898,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
6455,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9422,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14062,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11592,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14060,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12219,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12220,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14063,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14061,新北市,2013-11-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9569,新北市,2013-11-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17780,新北市,2013-11-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15654,新北市,2013-11-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7712,新北市,2013-11-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10173,新北市,2013-11-17,淡水區,住宅大樓(11層含以上有電梯),住家用,29
6452,新北市,2013-11-17,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14526,新北市,2013-11-17,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9203,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10885,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10895,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9204,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15656,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9202,新北市,2013-11-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11593,新北市,2013-11-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10887,新北市,2013-11-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13483,新北市,2013-11-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13561,新北市,2013-11-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16823,新北市,2013-11-20,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8628,新北市,2013-11-20,淡水區,住宅大樓(11層含以上有電梯),住家用,24
15652,新北市,2013-11-20,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8629,新北市,2013-11-20,淡水區,住宅大樓(11層含以上有電梯),住家用,24
10883,新北市,2013-11-21,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14960,新北市,2013-11-22,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8482,新北市,2013-11-22,淡水區,住宅大樓(11層含以上有電梯),住家用,29
18778,桃園市,2013-11-23,龜山區,其他,,0
20218,桃園市,2013-11-23,龜山區,其他,,0
22128,桃園市,2013-11-24,龜山區,其他,,0
19477,桃園市,2013-11-24,龜山區,其他,,0
22129,桃園市,2013-11-24,龜山區,其他,,0
19478,桃園市,2013-11-24,龜山區,其他,,0
21744,桃園市,2013-11-24,龜山區,其他,,0
20220,桃園市,2013-11-24,龜山區,其他,,0
23581,桃園市,2013-11-24,龜山區,其他,,0
20662,桃園市,2013-11-24,龜山區,其他,,0
25187,桃園市,2013-11-24,龜山區,其他,,0
21743,桃園市,2013-11-24,龜山區,其他,,0
20661,桃園市,2013-11-24,龜山區,其他,,0
20217,桃園市,2013-11-24,龜山區,其他,,0
24441,桃園市,2013-11-24,龜山區,其他,,0
22127,桃園市,2013-11-24,龜山區,其他,,0
14739,新北市,2013-11-24,淡水區,住宅大樓(11層含以上有電梯),住家用,29
21745,桃園市,2013-11-24,龜山區,其他,,0
10893,新北市,2013-11-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12694,新北市,2013-11-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10890,新北市,2013-11-27,淡水區,住宅大樓(11層含以上有電梯),住家用,24
13085,新北市,2013-11-29,淡水區,住宅大樓(11層含以上有電梯),住家用,29
20219,桃園市,2013-11-30,龜山區,其他,,0
7309,新北市,2013-11-30,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11590,新北市,2013-11-30,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11591,新北市,2013-12-01,淡水區,住宅大樓(11層含以上有電梯),住家用,29
6611,新北市,2013-12-05,淡水區,住宅大樓(11層含以上有電梯),住家用,29
2722,台北市,2013-12-06,內湖區,住宅大樓(11層含以上有電梯),住家用,29
